session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
7,1,1,json-parse,400000,43.5,29.6,0
7,1,1,toml-parse,400000,43.5,18.2,0
7,1,1,yaml-parse,400000,43.5,41.6,0
7,1,1,ini-parse,400000,43.5,40.8,0
7,1,1,properties-parse,400000,43.5,42.2,0
7,1,1,xml-parse,400000,43.5,9.6,0
7,1,1,plist-parse,400000,43.5,14.6,0
7,1,1,hcl-parse,400000,43.5,31.7,0
7,1,1,json-ops,75000,43.5,9.6,0
7,1,1,toml-ops,75000,43.5,4.1,0
7,1,1,yaml-ops,75000,43.5,14.1,0
7,1,1,ini-ops,75000,43.5,14.2,0
7,1,1,properties-ops,75000,43.5,21.7,0
7,1,1,xml-ops,75000,43.4,2.6,0
7,1,1,plist-ops,75000,43.4,3.1,0
7,1,1,hcl-ops,75000,43.4,8.5,0
7,1,1,protocol-decode,800000,43.4,21.6,0
8,1,1,json-parse,400000,55,40.5,0
8,1,1,toml-parse,400000,40.7,25.8,0
8,1,1,yaml-parse,400000,72.9,54.8,0
8,1,1,ini-parse,400000,70.9,54.9,0
8,1,1,properties-parse,400000,76,57.5,0
8,1,1,xml-parse,400000,32.5,15.7,0
8,1,1,plist-parse,400000,39.7,23.1,0
8,1,1,hcl-parse,400000,58.6,41.1,0
8,1,1,json-ops,75000,30.9,15.5,0
8,1,1,toml-ops,75000,12.4,6.8,0
8,1,1,yaml-ops,75000,35,20.1,0
8,1,1,ini-ops,75000,34.5,20.4,0
8,1,1,properties-ops,75000,45.3,30.2,0
8,1,1,xml-ops,75000,8.2,3.8,0
8,1,1,plist-ops,75000,9.8,4.5,0
8,1,1,hcl-ops,75000,25.2,14.1,0
8,1,1,protocol-decode,800000,45.7,29.8,0
8,1,2,json-parse,400000,55.9,41.9,0
8,1,2,toml-parse,400000,42.6,25.5,0
8,1,2,yaml-parse,400000,73.9,55.4,0
8,1,2,ini-parse,400000,69.8,55,0
8,1,2,properties-parse,400000,65.7,59.2,0
